code,description
950,None - Student
747,None - Unemployed
186,Not In Employment
501,Notaries
141,Nuclear Energy
95,Nursery
502,Nursery School
503,Nursing Home
846,Oceanographic Survey
96,Off Licence
504,Off Licence Store
921,Office Equipment Repairer
505,Office Equipment Supplier
506,Office Fitters
507,Office Services
847,Oil - Offshore
508,Oil Company
980,Oil Distribution
509,Oil Exploration
865,Oil Terminal Operator
510,Opinion Polls
97,Optical Services
511,Optician
512,Optometrist
961,Orchestra
513,Organ Building
747,None - Unemployed
905,Outdoor Pursuits
514,Overall Hire & Maintenance
515,Packers And Storers
516,Paint Manufacturer
517,Paint Spraying
518,Painting
98,Painting and Decorating
859,Painting Contractor
519,Panel Beating
804,Paper Manufacture
520,Paperbag And Sack Manufacturer
521,Parcel Delivery
923,Partition Erector
522,Passenger Transport
848,Patent Office
523,Pawnbroker
12,Performing Arts
524,Personnel Consultancy
525,Pest And Vermin Control
927,Pet Feed
908,Pet Services
526,Pet Shop
100,Petrochemical Industry
527,Petrol Pump Maintenance
816,Petrol Station
528,Pharmaceutical Supplier
529,Pharmacy
530,Photo Engraving
531,Photo Processing And Printing
532,Photographic Equipment Repairs
101,Photography
533,Physiotherapy
534,Piano Sales And Repairs
535,Piano Tuning
872,Picture Framing
536,Pig Farming
537,Pipe Cleaning
538,Pizza Delivery
539,Planning Consultancy
102,Plant Hire
540,Plant Manufacturer
541,Plant Sales
542,Plastic Sheeting Manufacturer
805,Plastics Manufacture
543,Playground Equipment Manufacturer
544,Plumbers Merchant
103,Plumbing
896,Plumbing & Heating
545,Political Consultancy
546,Political Party
547,Pollution Control
969,Polytechnic
931,Pony Trap
548,Pool Table Manufacturer
549,Pool Table Repairer
550,Pool Table Sales
968,Pop Group
144,Port Authority
932,Portable Building
104,Post Office
104,Post Office
552,Potato Merchant
553,Pottery
554,Poultry Farm
899,Poultry Farming
556,Presentation Materials Supplier
557,Press Cutting Agency
558,Pressure Cleaning
555,Pre-Stressed Concrete Manufacturer
559,Print Type Services
176,Printer
560,Printing
561,Printing Engineering Services
105,Prison Service
562,Private Hire
562,Private Hire
563,Private Investigation
564,Private School
565,Process Engraving
566,Produce Importers
567,Project Management
568,Promotional Consultancy
820,Property Consultants
106,Property Developers
821,Property Letting
569,Property Owner
107,Property Services
570,Protective Clothing Manufacturer
571,Protective Clothing Supplier
572,Psychiatry
573,Psychology
574,Psychotherapy
575,Public Address System Supplier
576,Public Hire
577,Public Hirer
578,Public House
579,Public Relation Consultancy
580,Public School
894,Public Transport
108,Publishing
109,Publishing - Local Press
110,Publishing - National Press
581,Quality Assurance
582,Quantity Surveyors
583,Quarry
111,Quarrying
584,Race Course
112,Racehorses
113,Racing Or Rallies
585,Racing Stable
586,Radiator Repairs
587,Radiator Sales
951,Radio Production
588,Radiography
589,Rag Merchants
114,Railway
590,Rating And Valuation
591,Record Company
592,Record Shop
593,Recording Services
594,Recovery Services
595,Recruitment Agency
596,Recycling
597,Refrigeration
598,Refuse Collection
941,Refuse Treatment
599,Reinforced Concrete Manufacturer
115,Religion
177,Removal Contractors
600,Remover And Storer
601,Rescue Services
602,Residential Home
831,Restaurant - Licensed
831,Restaurant - Licensed
