code,description
10A,Airline Broker
10B,Director of Planning
10C,Plant Breeder
10D,Will Writer
11A,Animator
11B,Dispenser (Pharmacy)
11C,Playwright
11D,Wood Machinist
12A,Announcer
12B,Distributor (Leaflets/Circ.)
12C,Police - Civilian
12D,Work Study Analyst
13A,Apprentice
13B,Dock Pilot
13C,Post/Telegraph Officer
13D,Yard Man
14A,Archbishop
14B,Dog Handler
14C,Technician
14D,Horse Dealer (Non Sport)
15A,ArchDeacon
15B,Draper
15C,Poultry Worker
15D,Horse Dealer (Sport)
16A,Art Buyer
16B,Dredger Master
16C,Precious Metal Merchant
16D,University Dean
17A,Art Director
17B,Dredgerman
17C,Press Producer
17D,Private Detective
18A,Artificial Inseminator
18B,Dresser Theatre/Films
18C,Advertising Buyer
18D,Post Graduate Student Living at Home
19A,Artist - Portrait
19B,Driller (Civil Engineering)
19C,Principal
19D,Post Graduate Student Living Away from Home
20A,Artist - Technical
20C,Printing Press Operator
20D,Artist - Commercial
21A,Athlete
21B,Electrical Contracts Manager
21C,Privy Councillor
21D,Artist - Freelance
22A,Bacteriologist
22B,Electrical Process Worker
22C,Product Designer
22D,Scientist - Atomic Energy
23A,Ballistics Expert
23B,Electroplater
23C,Cyclist
23D,Demolition Contractor
24A,Bargeman
24B,Electrotyper
24C,Professional Apprentice Footballer
24D,Locum Doctor
25A,Basket Worker
25B,Embryologist
25C,Professional Footballer
25D,Tyre/Exhaust Fitter
26A,BeeKeeper
26B,Endocrinologist
26C,Non Professional Footballer
26D,Journalist - Freelance
27A,Counter Staff
27B,Engine Room Man
27C,Rugby Player
27D,Map Maker
28A,Biometrician
28B,Engineman
28C,Snooker Player
28D,Motor Racing Driver
29A,Biophysicist
29B,Entomologist
29C,Racing Motorcyclist
29D,Musician - Amateur
30A,Bishop
30B,Erector
30C,Radar Mechanic
30D,Freelance Photographer
31A,Taster
31B,Escort
31C,Radio Helpline Coordinator
31D,Port Officer
32A,Boatswain
32B,Examiner
32C,Radio Mechanic
32D,Professional Cricketer
33A,Bookfinisher
33B,Explosives Worker
33C,Radiotherapist
33D,Photographer - Press (Local)
34A,Boom Operator
34B,Fettler (Foundry)
34C,Railman
34D,Photographer - Street
35A,Bottler
35B,Extra
35C,Lengthman
35D,Press Photographer - Freelance
36A,Bridgeman
36B,Finisher
36C,Pointsman
36D,Press Photographer - National
37A,Bridgemaster
37B,Footman
37C,Ticket Collector
37D,Professional Cyclist
38A,Brother (Church)
38B,Fortune Teller
38C,Reactor Attendant
38D,Rugby Player - Amateur
39A,Building Maintenance
39B,Fund Manager
39C,Reader Compositor
39D,Rugby Player - Professional
40A,Alarm Fitter
40B,Funfair Employee
40C,Reader
40D,Promoter - Entertainments
41B,Film Gaffer
41C,Antique Renovator
41D,Promoter - Sports
42B,Geneticist
42C,Picture Renovator
42D,Registered Disabled
43A,Calligrapher
43B,Geographer
43C,Research Assistant
43D,Not Employed Due to Disability
44A,Canon (Church)
44B,Geriatrician
44C,Rheumatologist
44D,Reporter - Freelance
45A,Canvasser
45B,Golf Coach
45C,Riverman
45D,Surgeon - N.H.S.
46A,Captain Merchant Ship
46B,Haematologist
46C,Rubber Worker
46D,Surgeon - Non  N.H.S.
47A,Cardinal
47B,Head of Arts
47C,Salvage Dealer
47D,TV Broadcasting Technician
48A,Cardiographer
48B,Head of Trade
48C,Salvage Hand
48D,Undergraduate Student - Living At Home
49A,Cardiologist
49B,Head of Traffic
49C,Sample Hand
49D,Undergraduate Student - Living Away from Home
50A,Cargo Handler
50B,Hearing Aid Technician
50C,Sand Merchant
50D,Web Developer
51A,Cataloguer
51B,Hedger/Ditcher
51C,Sawyer
51D,Web Programmer
52A,Ceiling Fitter
52B,Helmsman
52C,Scenehand
52D,Associate Director
53A,Appeal/Tribunal Chairman
53B,Herdsman
53C,Day Centre Officer
53D,Account Director
54A,Child Care Officer (Local Government)
54B,Histologist
54C,Nursing Officer
54D,Life Assurance Salesman
55A,Choirmaster
55B,Hospital Photographer
55C,Setter
55D,Waste Paper Merchant
56A,Chorister
56B,Houseman
56C,Sewage Worker
56D,Footballer - Semi Professional
57A,Church Army Worker
57B,Immunologist
58A,Executive Officer
58B,Import/Export Dealer
58C,Shorthand Writer
59A,Clapper
59B,Installation Worker
59C,Silversmith
60A,Filing Clerk
60B,Instructor
60C,Singer
61A,Clerk of Court
61B,Insurance Collector
61C,Smelter
62A,Non Professional Sports Coach
62B,Invigilator
63A,Professional Sports Coach
63B,Ironer
63C,Sociolagist
64A,Coalman
64B,Ironer Finisher
64C,Sound Editor
65A,College Scout
65B,Ironer Presser
65C,Sound Mixer
66A,Colourist (Maps/Photographs)
66B,Itinerant Labourer
66C,Sports Administrator
67A,Comedian
67B,Itinerant Trader
67C,Sports Equipment Repairer
68A,Vehicle Bodybuilder
68B,Jointer
